Date,SOI,OLR,ONI
195101,1.5,,-0.8
195102,0.9,,-0.5
195103,-0.1,,-0.2
195104,-0.3,,0.2
195105,-0.7,,0.4
195106,0.2,,0.6
195107,-1,,0.7
195108,-0.2,,0.9
195109,-1.1,,1
195110,-1,,1.2
195111,-0.8,,1
195112,-0.7,,0.8
195201,-0.9,,0.5
195202,-0.6,,0.4
195203,0.5,,0.3
195204,-0.2,,0.3
195205,0.8,,0.2
195206,0.7,,0
195207,0.5,,-0.1
195208,0.1,,0
195209,-0.2,,0.2
195210,0.4,,0.1
195211,0,,0
195212,-1.2,,0.1
195301,0.3,,0.4
195302,-0.5,,0.6
195303,-0.2,,0.6
195304,0.2,,0.7
195305,-1.7,,0.8
195306,0.1,,0.8
195307,0,,0.7
195308,-1.2,,0.7
195309,-1.2,,0.8
195310,0.1,,0.8
195311,-0.3,,0.8
195312,-0.5,,0.8
195401,0.7,,0.8
195402,-0.3,,0.5
195403,0.3,,0
195404,0.6,,-0.4
195405,0.5,,-0.5
195406,0.1,,-0.5
195407,0.4,,-0.6
195408,1.1,,-0.8
195409,0.2,,-0.9
195410,0.3,,-0.8
195411,0.1,,-0.7
195412,1.4,,-0.7
195501,-0.5,,-0.7
195502,1.9,,-0.6
195503,0.6,,-0.7
195504,-0.1,,-0.8
195505,1,,-0.8
195506,1.3,,-0.7
195507,1.6,,-0.7
195508,1.5,,-0.7
195509,1.3,,-1.1
195510,1.5,,-1.4
195511,1.2,,-1.7
195512,1,,-1.5
195601,1.3,,-1.1
195602,1.6,,-0.8
195603,1.3,,-0.6
195604,0.9,,-0.5
195605,1.4,,-0.5
195606,1.1,,-0.5
195607,1.1,,-0.6
195608,1.2,,-0.6
195609,0.1,,-0.5
195610,1.8,,-0.4
195611,0.2,,-0.4
195612,1.1,,-0.4
195701,0.6,,-0.2
195702,-0.1,,0.1
195703,0.2,,0.4
195704,0.2,,0.7
195705,-0.7,,0.9
195706,0.2,,1.1
195707,0.2,,1.3
195708,-0.5,,1.3
195709,-0.9,,1.3
195710,0,,1.4
195711,-1,,1.5
195712,-0.3,,1.7
195801,-1.9,,1.8
195802,-0.5,,1.7
195803,0.3,,1.3
195804,0.4,,0.9
195805,-0.5,,0.7
195806,0.3,,0.6
195807,0.4,,0.6
195808,0.9,,0.4
195809,-0.3,,0.4
195810,0.1,,0.4
195811,-0.4,,0.5
195812,-0.6,,0.6
195901,-0.9,,0.6
195902,-1.4,,0.6
195903,1.3,,0.5
195904,0.4,,0.3
195905,0.5,,0.2
195906,-0.1,,-0.1
195907,-0.3,,-0.2
195908,-0.1,,-0.3
195909,0,,-0.1
195910,0.5,,0
195911,0.9,,0
195912,0.9,,0
196001,0.1,,-0.1
196002,0.1,,-0.1
196003,1,,-0.1
196004,0.8,,0
196005,0.5,,0
196006,0.1,,0
196007,0.5,,0.1
196008,0.8,,0.2
196009,0.7,,0.3
196010,0.1,,0.2
196011,0.5,,0.1
196012,0.8,,0.1
196101,-0.3,,0
196102,0.9,,0
196103,-1.8,,0
196104,0.8,,0.1
196105,0.3,,0.2
196106,0.1,,0.3
196107,0.2,,0.1
196108,0.2,,-0.1
196109,0.1,,-0.3
196110,-0.3,,-0.3
